CodeStagiaire,Nom,Prenom,DateNaissance,debutde,dateFin,CodePlanning,CodeFormation,CodePromotion,EmailCampus,SAMAccountName
17040,Upton,Johns,20/09/99,14/04/18,20/04/20,12827,IN8,MS2I86,upton.johns2017@campus-eni.ovh,
18757,Yvette,Holder,01/11/01,05/09/18,16/02/20,14416,IN8,MS2I86,yvette.holder2017@campus-eni.ovh,
19195,Idona,Davenport,25/02/87,15/10/17,06/02/19,14039,IN8,MS2I86,idona.davenport2017@campus-eni.ovh,
16559,Halla,Horne,21/06/83,18/12/17,05/03/20,12898,IN8,MS2I86,halla.horne2017@campus-eni.ovh,
15427,Lucian,Ballard,02/11/85,19/09/18,05/08/20,12022,IN8,MS2I86,lucian.ballard2017@campus-eni.ovh,
18633,Joelle,Goodman,25/01/93,01/06/18,19/07/20,14487,IN8,MS2I86,joelle.goodman2017@campus-eni.ovh,
15856,Petra,Faulkner,02/08/00,11/08/18,21/04/20,13652,IN8,MS2I86,petra.faulkner2017@campus-eni.ovh,
15878,Hunter,Hooper,19/03/90,29/06/18,17/07/19,13497,IN8,MS2I86,hunter.hooper2017@campus-eni.ovh,
19144,Abel,Leblanc,28/01/89,05/07/18,12/09/20,12523,IN8,MS2I86,abel.leblanc2017@campus-eni.ovh,
16140,Ocean,Church,17/12/88,05/08/18,14/08/19,12225,IN8,MS2I86,ocean.church2017@campus-eni.ovh,
15251,Lee,Watson,25/11/00,28/10/18,10/04/19,12841,IN8,MS2I86,lee.watson2017@campus-eni.ovh,
16455,Regina,Miller,13/08/96,30/10/18,12/05/20,14575,IN8,MS2I86,regina.miller2017@campus-eni.ovh,
17625,Dorian,Merrill,03/03/86,25/09/18,31/07/19,14327,IN8,MS2I86,dorian.merrill2017@campus-eni.ovh,
19419,Axel,Small,10/07/96,29/10/17,15/01/20,12771,IN8,MS2I86,axel.small2017@campus-eni.ovh,
15791,Kirestin,Ball,04/11/87,28/10/18,15/12/19,14800,IN8,MS2I86,kirestin.ball2017@campus-eni.ovh,
19378,Kane,Watson,21/09/95,22/02/18,29/09/20,13940,IN8,MS2I86,kane.watson2017@campus-eni.ovh,
19448,Noel,Rodgers,09/02/96,06/05/18,09/10/19,14708,IN8,MS2I86,noel.rodgers2017@campus-eni.ovh,
18085,Rosalyn,Goodwin,07/02/02,08/03/18,03/09/19,13583,IN8,MS2I86,rosalyn.goodwin2017@campus-eni.ovh,
19378,Sonya,Bonner,12/04/91,04/05/18,15/08/19,13577,IN8,MS2I86,sonya.bonner2017@campus-eni.ovh,
18902,Amery,Lucas,15/12/00,06/07/18,07/10/19,14866,IN8,MS2I86,amery.lucas2017@campus-eni.ovh,
17171,Jelani,Matthews,01/10/82,29/07/18,23/07/20,13181,IN8,MS2I86,jelani.matthews2017@campus-eni.ovh,
18493,Denton,Ewing,30/11/94,08/06/18,02/01/20,13300,IN8,MS2I86,denton.ewing2017@campus-eni.ovh,
17408,Benedict,Dalton,16/10/99,04/09/18,27/03/20,13432,IN8,MS2I86,benedict.dalton2017@campus-eni.ovh,
19224,Bradley,Kane,11/06/89,05/03/18,28/05/19,14115,IN8,MS2I86,bradley.kane2017@campus-eni.ovh,
19221,Jillian,Ruiz,27/10/88,24/04/18,03/03/19,14100,IN8,MS2I86,jillian.ruiz2017@campus-eni.ovh,
16570,Alyssa,Jarvis,15/01/85,28/02/18,09/05/19,12189,IN8,MS2I86,alyssa.jarvis2017@campus-eni.ovh,
18567,Gisela,Bowen,16/10/89,11/01/18,29/10/18,14503,IN8,MS2I86,gisela.bowen2017@campus-eni.ovh,
15823,Evan,Shields,14/12/79,30/11/17,03/09/20,12088,IN8,MS2I86,evan.shields2017@campus-eni.ovh,
16573,Levi,Cooke,05/05/90,05/12/17,04/07/20,12049,IN8,MS2I86,levi.cooke2017@campus-eni.ovh,
